cobraId,dotTargetFraction,calibrated,dotEdgeFraction,entryEdgeSeen,runSpread
343,0.445,False,,False,
344,0.445,False,,False,
345,0.4584,True,,False,0.0154
346,0.3555,True,0.0313,True,0.0207
347,0.445,False,,False,
348,0.445,False,,False,
349,0.5659,True,,False,0.0269
350,0.4336,True,0.1939,True,0.0491
351,0.4151,True,0.1161,True,0.0219
352,0.7405,True,0.2128,True,0.0349
353,0.57,True,,False,0.0039
354,0.6567,True,,False,0.0394
355,0.4587,True,,False,0.0334
356,0.445,False,,False,
357,0.6368,True,,False,0.0027
358,0.6047,True,0.1896,True,0.0208
359,0.5488,True,,False,0.0088
360,0.5178,True,0.0799,True,0.0398
361,0.445,False,,False,
362,0.3337,True,0.0876,True,0.0015
363,0.6041,True,,False,0.0509
364,0.5404,True,,False,0.0317
365,0.5879,True,,False,0.0143
366,0.6031,True,,False,0.0035
367,0.4762,True,,False,0.0384
368,0.5919,True,,False,0.0063
369,0.4477,True,,False,0.0443
370,0.4518,True,0.1181,True,0.0104
371,0.4467,True,0.1019,True,0.0275
372,0.427,True,,False,0.0078
373,0.5103,True,0.0703,True,0.0114
374,0.4129,True,,False,0.0151
375,0.285,True,0.062,True,0.0175
376,0.6371,True,,False,0.0076
377,0.5946,True,,False,0.0045
378,0.5129,True,0.1005,True,0.0427
379,0.4427,True,,False,0.0187
380,0.6034,True,0.1612,True,0.0101
381,0.3517,True,,False,0.0197
382,0.5033,True,,False,0.0317
383,0.6492,True,0.1704,True,0.0296
384,0.354,True,,False,0.0017
385,0.5266,True,,False,0.0115
386,0.3864,True,,False,0.0213
387,0.6552,True,,False,0.0058
388,0.5399,True,,False,0.0082
389,0.2901,True,,False,0.0095
390,0.5164,True,,False,0.0063
391,0.3431,True,,False,0.0661
392,0.4609,True,0.1642,True,0.0282
393,0.5808,True,,False,0.0073
394,0.4347,True,,False,0.0015
395,0.576,True,,False,0.0012
396,0.5171,True,,False,0.0328
397,0.4958,True,,False,0.0227
398,0.5297,True,,False,0.0311
399,0.5037,True,,False,0.001
400,0.4734,True,,False,0.0131
401,0.4069,True,,False,0.017
402,0.4265,True,,False,0.0554
403,0.3754,True,,False,0.0089
404,0.5941,True,,False,0.0071
405,0.3751,True,0.0895,True,0.0146
406,0.4681,True,,False,0.0136
407,0.5552,True,,False,0.0158
408,0.5226,True,,False,0.0125
409,0.4898,True,,False,0.0356
410,0.6222,True,0.1555,True,0.0184
411,0.6094,True,0.1506,True,0.0073
412,0.3573,True,,False,0.0053
413,0.5751,True,,False,0.0091
414,0.6156,True,,False,0.0092
415,0.6116,True,,False,0.0014
416,0.5277,True,,False,0.0403
417,0.4928,True,0.078,True,0.024
418,0.5507,True,,False,0.0137
419,0.3571,True,,False,0.0364
420,0.6497,True,0.1306,True,0.0118
421,0.6427,True,,False,0.0013
422,0.4257,True,0.0617,True,0.0085
423,0.451,True,,False,0.0069
424,0.5612,True,,False,0.0353
425,0.5971,True,,False,0.0149
426,0.4111,True,,False,0.0145
427,0.3721,True,,False,0.019
428,0.5145,True,0.1535,True,0.0161
429,0.5854,True,0.117,True,0.0214
430,0.445,False,,False,
431,0.5425,True,0.0743,True,0.0015
432,0.5439,True,,False,0.0247
433,0.4251,True,0.0717,True,0.0103
434,0.3795,True,,False,0.0407
435,0.6293,True,,False,0.0082
436,0.2959,True,,False,0.0151
437,0.7029,True,0.2931,True,0.0159
438,0.4488,True,,False,0.0651
439,0.6701,True,,False,0.0094
440,0.3748,True,,False,0.0215
441,0.4725,True,,False,0.0098
442,0.4577,True,,False,0.0306
443,0.445,False,,False,
444,0.466,True,0.1353,True,0.0455
445,0.445,False,,False,
446,0.4295,True,,False,0.0042
447,0.444,True,0.101,True,0.0246
448,0.4461,True,,False,0.0031
449,0.3332,True,,False,0.0076
450,0.5525,True,0.1213,True,0.0005
451,0.423,True,,False,0.0129
452,0.4771,True,0.1167,True,0.0147
453,0.2502,True,0.0212,True,0.0441
454,0.445,False,,False,
455,0.4351,True,0.094,True,0.0291
456,0.5962,True,,False,0.013
457,0.3942,True,,False,0.0143
458,0.391,True,,False,0.0221
459,0.6189,True,,False,0.0039
460,0.5707,True,0.0938,True,0.042
461,0.4835,True,,False,0.031
462,0.5129,True,,False,0.0182
463,0.5949,True,,False,0.0296
464,0.4959,True,,False,0.0046
465,0.4302,True,0.0972,True,0.0383
466,0.562,True,,False,0.0234
467,0.445,False,,False,
468,0.4159,True,,False,0.0332
469,0.5575,True,,False,0.0338
